ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles,trait_Cognitive.decline,direction_CBE,direction_TCX
ENSG00000184113,0.64,0.5,2.01,0.99,1.62,NONE,UP
ENSG00000173482,-0.25,-0.07,-1.84,-0.08,-1.62,NONE,NONE
ENSG00000107959,-1.61,-0.74,-4.02,-0.79,-1.62,NONE,NONE
ENSG00000197114,0.87,0.7,0.48,1.92,1.62,NONE,NONE
ENSG00000169439,0.18,0.69,0.96,-0.3,1.61,NONE,UP
ENSG00000125740,-0.77,-0.79,-3.83,-2.64,-1.61,NONE,NONE
ENSG00000115641,-0.49,-0.56,-1.51,-0.93,-1.61,NONE,NONE
ENSG00000115415,-0.44,-0.26,-0.65,-3.66,-1.6,NONE,NONE
ENSG00000179295,0.63,1.31,2.77,0.54,1.6,NONE,NONE
ENSG00000134574,0.38,1.03,0.19,1.14,1.6,NONE,NONE
ENSG00000164951,-1.09,-0.67,-1.67,-0.79,-1.59,NONE,NONE
ENSG00000137193,0.09,0.61,0.18,0.12,1.59,NONE,NONE
ENSG00000169783,-0.71,-0.53,-1.9,-1.12,-1.59,NONE,NONE
ENSG00000125166,-0.47,-0.16,-1.85,-0.78,-1.59,NONE,NONE
ENSG00000154727,0.5,1.13,2.48,0.46,1.58,NONE,UP
ENSG00000163686,0.99,1.98,1.41,0.6,1.57,NONE,NONE
ENSG00000102317,-1.34,-1.46,-0.46,-0.66,-1.57,DOWN,DOWN
ENSG00000198825,-0.82,-0.07,-1.6,-0.88,-1.57,NONE,DOWN
ENSG00000197971,0.16,1.61,0.23,0.04,1.55,DOWN,NONE
ENSG00000069399,0.25,0.47,0.62,0.6,1.54,UP,UP
ENSG00000126214,-0.35,-1.23,-0.38,-0.54,-1.54,NONE,NONE
ENSG00000165475,0.02,0.38,0.17,-0.38,1.53,NONE,NONE
ENSG00000099622,-0.83,-1.45,-0.39,-0.58,-1.53,DOWN,DOWN
ENSG00000100599,1.26,0.53,2.72,0.66,1.53,NONE,UP
ENSG00000177697,2.83,1.06,4.35,1.59,1.52,NONE,UP
ENSG00000213585,-1.24,-0.34,-1.63,-1.67,-1.52,NONE,NONE
ENSG00000239697,1.13,0.25,1.11,2.1,1.51,NONE,NONE
ENSG00000004487,-1.06,-1.19,-1.15,-3.12,-1.5,NONE,NONE
ENSG00000171223,-0.42,0.42,0.1,0.03,1.5,NONE,NONE
