ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles,trait_Cognitive.decline,direction_CBE,direction_TCX
ENSG00000125037,-1.48,-3.15,-1.88,-2.05,-5.12,NONE,NONE
ENSG00000176783,0.97,2.77,0.66,1.11,5.11,NONE,NONE
ENSG00000104915,1.17,2.46,1.96,3.49,5.1,NONE,NONE
ENSG00000184903,-2.49,-2.85,-3.6,-3.4,-5.1,NONE,NONE
ENSG00000174460,-2.75,-3.2,-4.28,-2.64,-5.09,UP,DOWN
ENSG00000178796,-1.51,-3.51,-3.64,-0.77,-5.09,NONE,DOWN
ENSG00000100600,-1.59,-5.25,-2.27,-0.85,-5.09,NONE,NONE
ENSG00000083750,-2.01,-1.21,-1.94,-3.51,-5.09,NONE,NONE
ENSG00000167747,-2.01,-4.73,-1.67,-1.08,-5.08,DOWN,DOWN
ENSG00000037897,-0.44,-3.97,-0.53,-0.54,-5.07,NONE,NONE
ENSG00000133639,0.75,2.12,1.39,0.71,5.07,NONE,NONE
ENSG00000138434,0.97,4.76,4.76,0.51,5.07,NONE,NONE
ENSG00000141298,0,2.35,0.59,0.89,5.07,NONE,NONE
ENSG00000168214,2.08,2.51,1.44,2.78,5.06,NONE,NONE
ENSG00000164402,2.98,4.51,5.93,0.7,5.05,NONE,NONE
ENSG00000134262,-2.19,-3.42,-3.56,-5.88,-5.05,DOWN,DOWN
ENSG00000055070,1.96,1.58,4.7,1.17,5.04,NONE,UP
ENSG00000198914,2.82,2.1,3.59,1.78,5.04,UP,NONE
ENSG00000011451,1.31,2.64,1.1,1.58,5.03,NONE,UP
ENSG00000111676,1.51,2.91,1.56,0.74,5.03,NONE,NONE
ENSG00000263001,1.08,3.94,2.67,0.37,5.02,UP,NONE
ENSG00000005339,1.25,2.57,3.06,0.82,5.02,NONE,NONE
ENSG00000099381,3.3,2.15,2.46,3.63,5,NONE,NONE
ENSG00000130669,3.43,2.1,3.25,2.19,5,NONE,NONE
ENSG00000064933,-3.65,-1.97,-3.1,-1.68,-5,NONE,NONE
ENSG00000135052,1.16,3.1,2.58,1.26,4.99,NONE,NONE
ENSG00000187260,-1.36,-4.35,-1.92,-0.43,-4.99,NONE,NONE
ENSG00000183569,0.92,2.38,1.36,1.33,4.99,NONE,NONE
ENSG00000100813,2.35,2.13,2.86,1.06,4.99,NONE,NONE
ENSG00000145358,0.89,2.6,1.19,0.66,4.99,UP,UP
ENSG00000136875,-3.74,-3.31,-2.65,-3.61,-4.98,NONE,NONE
ENSG00000182103,1.89,1.33,2.47,0.83,4.98,NONE,UP
ENSG00000100983,-2.24,-3.14,-4.25,-2.1,-4.97,DOWN,DOWN
ENSG00000084676,1.41,3.95,3.07,2.58,4.97,NONE,NONE
ENSG00000097007,1.75,2.38,3.88,0.39,4.96,NONE,NONE
ENSG00000117152,-1.53,-2.03,-3,-1.31,-4.96,UP,NONE
ENSG00000267855,-4.26,-2.88,-5.34,-2.77,-4.96,NA,NA
ENSG00000167703,-1.05,-3.76,-1.79,-1.06,-4.95,NONE,NONE
ENSG00000108830,1.45,3.63,1.2,2.55,4.95,NONE,UP
ENSG00000185591,2.09,3.32,4.02,0.46,4.94,NONE,UP
ENSG00000249915,-2.41,-2.82,-3.04,-2.82,-4.94,NONE,NONE
ENSG00000103319,1.01,2.31,1.54,1.28,4.94,NONE,NONE
ENSG00000100949,1.94,2.84,0.45,3.54,4.93,NONE,NONE
ENSG00000115457,-0.68,-2.63,-1.68,-0.74,-4.93,NONE,NONE
ENSG00000151414,1.24,4.26,5.02,1.26,4.93,NONE,NONE
ENSG00000006831,2.17,3.5,5.27,0.69,4.92,NONE,UP
ENSG00000089123,-1.79,-1.68,-2.14,-1.78,-4.92,NONE,DOWN
ENSG00000081913,2.5,2.56,5.12,0.49,4.92,NONE,UP
ENSG00000169093,-1.13,-4.27,-1.52,-1.65,-4.92,NA,NA
ENSG00000162076,-0.85,-2.83,-1.61,-1.01,-4.91,DOWN,NONE
ENSG00000129636,-2.79,-1.88,-3.42,-2.85,-4.91,NONE,DOWN
ENSG00000125952,1.46,3.8,1.1,1.99,4.91,NONE,NONE
ENSG00000179304,-1.63,-3.78,-4.53,-2.33,-4.91,NA,NA
ENSG00000080573,3.57,2.4,2.86,1.82,4.91,NONE,UP
