ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles
ENSG00000125991,-0.06,0.31,-0.11,0.76
ENSG00000101365,-0.73,-0.43,-1.3,-0.95
ENSG00000125877,-0.35,-1.53,-0.88,0.15
ENSG00000172264,0.38,-0.4,-0.21,0.84
ENSG00000125901,-0.59,-0.59,-2.28,0.04
ENSG00000244005,-2.18,-1.66,-3.07,-1.59
ENSG00000232838,-2.12,-1.82,-1.96,-0.68
ENSG00000025293,0.35,-0.6,-0.15,0.94
ENSG00000244462,-1.01,-0.33,0.05,-2.06
ENSG00000125995,-0.06,-0.04,-0.49,0.13
ENSG00000232388,NA,NA,NA,NA
ENSG00000088930,1.29,0.82,2.89,0.53
ENSG00000130706,0.37,0.14,-0.08,0.83
ENSG00000124172,NA,NA,NA,NA
ENSG00000101132,-1.29,-0.38,-3.42,-0.42
ENSG00000124181,1.14,2.17,2.53,0.15
ENSG00000101182,0.09,0.32,-0.09,0.39
ENSG00000171858,0.52,1.9,0.19,0.15
ENSG00000174365,-0.3,-0.43,-0.26,1.18
ENSG00000184402,-0.76,-0.18,-2.86,-0.74
ENSG00000177410,NA,NA,NA,NA
ENSG00000241837,NA,NA,NA,NA
ENSG00000160226,-1.09,-2.09,-1.68,-0.39
ENSG00000142156,1.81,1.7,1.53,2.07
ENSG00000154639,-0.11,-0.04,0.2,0.38
ENSG00000159147,-0.48,0.12,0.19,-0.18
ENSG00000159267,0.76,0.07,0.75,-0.12
ENSG00000142166,-0.05,-0.06,0.88,-1.19
ENSG00000198862,NA,NA,NA,NA
ENSG00000180530,-0.81,-1.01,-0.91,-0.59
ENSG00000198618,0.12,-0.85,-0.15,-0.1
ENSG00000182093,-0.52,-0.12,-0.3,-0.48
ENSG00000128185,-0.05,-0.2,-0.75,0.92
ENSG00000185721,-1.95,-2.73,-3.72,-0.48
ENSG00000185608,-0.3,-0.35,-1.41,0.88
ENSG00000100029,0.8,-0.76,0.25,1.93
ENSG00000099901,-2.26,-0.83,-2.89,-2.45
ENSG00000099999,-0.38,-1.72,-1.55,-0.71
ENSG00000184436,-0.05,-0.54,-0.45,1.79
ENSG00000100154,0.48,0.7,0.59,1.17
ENSG00000253352,0.03,-0.41,1.3,-0.03
ENSG00000184470,-0.81,-0.42,-0.76,0.36
ENSG00000184076,-3.98,-0.68,-3.08,-0.57
ENSG00000100319,-0.34,-0.22,-0.7,0.27
ENSG00000130638,-1.23,-0.92,-0.77,-3.13
ENSG00000184164,-3.04,-2.33,-2.84,-5.58
ENSG00000213923,1.24,0.99,1.78,0.1
ENSG00000186976,NA,NA,NA,NA
ENSG00000100353,-0.71,-3.22,-1.33,-0.22
ENSG00000100129,-0.24,-0.69,-0.08,0.12
ENSG00000100393,1.65,2.88,3.3,0.43
ENSG00000100335,NA,NA,NA,NA
ENSG00000100410,-0.75,0.02,-0.34,-0.46
ENSG00000100417,-1.16,-1.96,-0.99,-1.83
ENSG00000100227,1.86,2.57,3.84,0.6
ENSG00000102054,-0.55,1.04,-0.5,0.6
ENSG00000100387,0.01,0.44,-0.93,0.56
ENSG00000100316,-0.26,-1.52,-0.22,-0.08
ENSG00000187051,0.59,-0.01,1.24,1.6
ENSG00000100220,NA,NA,NA,NA
ENSG00000100372,-0.07,-1.55,-1.09,0
ENSG00000169895,0.11,-0.74,0.21,-0.14
ENSG00000198792,3.77,4.19,6.87,1.71
ENSG00000205542,-2.31,-2.11,-1.57,-2.47
ENSG00000100354,1.86,0.09,1.01,1.84
ENSG00000100216,0.32,0.05,-0.62,1.54
ENSG00000170638,1.27,1.83,2.1,3.23
ENSG00000196419,-0.47,-1.11,-0.42,-0.93
ENSG00000169249,0.32,0.56,0.29,0.68
ENSG00000182220,-1.88,-0.8,-2.23,-2.92
ENSG00000165169,-2.34,-1.33,-2.48,-2.44
ENSG00000069509,-1.63,-0.08,-1.43,-1.06
ENSG00000102316,-0.52,-0.06,-0.31,-0.52
ENSG00000187601,-1.77,-1.31,-1.34,-3.03
ENSG00000147123,-0.47,-0.01,-0.63,0.04
ENSG00000102103,0.82,0.81,-0.09,2.19
ENSG00000102100,-0.53,-1.47,-0.74,-1.07
ENSG00000186787,-1.32,-0.95,-4.02,-1.72
ENSG00000068323,0.09,0.44,1.23,0.04
ENSG00000126768,-0.85,-1.44,-2.45,0.02
ENSG00000247746,NA,NA,NA,NA
ENSG00000124486,-0.04,0,0.71,-1.33
ENSG00000251192,NA,NA,NA,NA
ENSG00000131269,-0.62,0.59,0.61,-0.82
ENSG00000126947,-1.05,-0.22,-1.17,-0.51
ENSG00000102401,0.27,-0.07,0.46,-0.26
ENSG00000198960,0.03,0.32,-0.09,0.18
ENSG00000133134,-2.1,-2.43,-4.8,-2.34
ENSG00000166681,NA,NA,NA,NA
ENSG00000102409,-2.44,-1.06,-5.02,-2.17
ENSG00000184515,-0.66,-1.35,-3.44,-0.48
ENSG00000131174,-1.32,-0.68,-3.26,-1.21
ENSG00000018610,-1.34,-2.63,-2.47,-0.72
ENSG00000198932,-2.59,-3.38,-3.08,-3.01
ENSG00000147246,NA,NA,NA,NA
ENSG00000089289,-0.08,0.3,-0.2,-0.08
ENSG00000225470,1.62,-0.17,0.31,1.44
ENSG00000120509,-2.69,-0.61,-5.71,-1.75
ENSG00000102309,-0.02,0.05,-1.02,0.19
ENSG00000147224,-0.77,-1.07,-0.48,-1.92
ENSG00000101843,-1.36,-0.9,-1.63,-1.66
ENSG00000005022,-0.5,0.04,0.03,-0.96
ENSG00000172465,-0.06,1.63,-0.12,0.24
ENSG00000182916,-1.14,-0.62,-1.86,-1.2
ENSG00000180964,-0.09,0.22,-0.61,0.01
ENSG00000185825,0.01,-1.34,-0.49,0.2
ENSG00000262919,NA,NA,NA,NA
ENSG00000147400,-0.25,-0.87,-1.11,0.04
ENSG00000197620,-0.84,-0.88,-1.47,-1.46
ENSG00000197021,-1.01,-2.07,-0.69,-0.64
ENSG00000185010,-0.55,-0.21,-2.02,-0.73
ENSG00000165775,0.58,0.14,0.1,0.31
ENSG00000171004,-1.42,-1.28,-1.92,-1.43
ENSG00000196976,-0.79,-0.75,-1.64,-0.21
ENSG00000125356,-0.14,-0.13,-1.2,0.17
ENSG00000125352,0.09,0.85,-1.05,0.83
ENSG00000147403,-2.73,-0.94,-0.51,-2.91
ENSG00000198918,-0.14,0.33,0.56,0
ENSG00000180879,-1.84,-2.62,-2.93,-0.88
