Gene_1,Gene_2,Combined_Score
ENSG00000100934,ENSG00000141551,0.418
ENSG00000100934,ENSG00000176986,0.998
ENSG00000176986,ENSG00000100934,0.998
ENSG00000176986,ENSG00000128050,0.646
ENSG00000106366,ENSG00000164171,0.408
ENSG00000106366,ENSG00000198598,0.486
ENSG00000127511,ENSG00000183495,0.459
ENSG00000127511,ENSG00000150459,0.979
ENSG00000100156,ENSG00000135437,0.4
ENSG00000110436,ENSG00000120948,0.496
ENSG00000110436,ENSG00000177807,0.824
ENSG00000110628,ENSG00000167094,0.433
ENSG00000099956,ENSG00000118900,0.495
ENSG00000099956,ENSG00000183495,0.528
ENSG00000099956,ENSG00000164985,0.628
ENSG00000099956,ENSG00000150459,0.738
ENSG00000099956,ENSG00000154767,0.973
ENSG00000102172,ENSG00000107581,0.431
ENSG00000102172,ENSG00000104450,0.419
ENSG00000198742,ENSG00000108854,0.987
ENSG00000198742,ENSG00000155760,0.672
ENSG00000198742,ENSG00000165280,0.517
ENSG00000108854,ENSG00000155760,0.673
ENSG00000108854,ENSG00000198742,0.987
ENSG00000144028,ENSG00000120948,0.465
ENSG00000144028,ENSG00000067248,0.452
ENSG00000144028,ENSG00000119707,0.849
ENSG00000144028,ENSG00000153201,0.483
ENSG00000144028,ENSG00000167658,0.63
ENSG00000144028,ENSG00000070756,0.477
ENSG00000144028,ENSG00000117360,0.999
ENSG00000144028,ENSG00000183495,0.485
ENSG00000144028,ENSG00000165119,0.565
ENSG00000144028,ENSG00000133226,0.884
ENSG00000144028,ENSG00000100109,0.937
ENSG00000144028,ENSG00000125743,0.999
ENSG00000125743,ENSG00000120948,0.944
ENSG00000125743,ENSG00000136231,0.519
ENSG00000125743,ENSG00000100902,0.469
ENSG00000125743,ENSG00000119707,0.958
ENSG00000125743,ENSG00000153201,0.924
ENSG00000125743,ENSG00000108424,0.471
ENSG00000125743,ENSG00000167658,0.494
ENSG00000125743,ENSG00000117360,0.999
ENSG00000125743,ENSG00000144028,0.999
ENSG00000125743,ENSG00000133226,0.965
ENSG00000125743,ENSG00000084623,0.539
ENSG00000125743,ENSG00000130713,0.661
ENSG00000125743,ENSG00000150459,0.698
ENSG00000125743,ENSG00000147669,0.727
ENSG00000125743,ENSG00000100109,0.785
ENSG00000125743,ENSG00000165119,0.964
ENSG00000104450,ENSG00000102172,0.419
ENSG00000065526,ENSG00000119707,0.424
ENSG00000065526,ENSG00000165119,0.413
ENSG00000065526,ENSG00000100109,0.415
ENSG00000112658,ENSG00000178860,0.502
ENSG00000133226,ENSG00000100941,0.86
ENSG00000133226,ENSG00000119707,0.983
ENSG00000133226,ENSG00000004534,0.679
ENSG00000133226,ENSG00000153201,0.78
ENSG00000133226,ENSG00000117360,0.621
ENSG00000133226,ENSG00000144028,0.884
ENSG00000133226,ENSG00000010244,0.413
ENSG00000133226,ENSG00000150459,0.427
ENSG00000133226,ENSG00000165119,0.581
ENSG00000133226,ENSG00000125743,0.965
ENSG00000133226,ENSG00000205937,0.996
ENSG00000160075,ENSG00000014164,0.666
ENSG00000144057,ENSG00000182732,0.464
ENSG00000120948,ENSG00000107581,0.404
ENSG00000120948,ENSG00000130713,0.44
ENSG00000120948,ENSG00000100902,0.458
ENSG00000120948,ENSG00000144028,0.465
ENSG00000120948,ENSG00000084623,0.47
ENSG00000120948,ENSG00000106263,0.476
ENSG00000120948,ENSG00000110436,0.496
ENSG00000120948,ENSG00000167658,0.51
ENSG00000120948,ENSG00000119421,0.6
ENSG00000120948,ENSG00000150459,0.627
ENSG00000120948,ENSG00000070756,0.657
ENSG00000120948,ENSG00000165280,0.943
ENSG00000120948,ENSG00000125743,0.944
ENSG00000120948,ENSG00000165119,0.972
ENSG00000100109,ENSG00000100941,0.411
ENSG00000100109,ENSG00000067248,0.536
ENSG00000100109,ENSG00000119707,0.531
ENSG00000100109,ENSG00000117360,0.857
ENSG00000100109,ENSG00000144028,0.937
ENSG00000100109,ENSG00000125743,0.785
ENSG00000100109,ENSG00000065526,0.415
ENSG00000265354,ENSG00000164163,0.46
ENSG00000265354,ENSG00000120705,0.413
ENSG00000265354,ENSG00000126953,0.985
ENSG00000265354,ENSG00000163636,0.441
ENSG00000126953,ENSG00000147669,0.446
ENSG00000126953,ENSG00000265354,0.985
ENSG00000064419,ENSG00000164985,0.701
ENSG00000064419,ENSG00000108424,0.789
ENSG00000064419,ENSG00000153201,0.82
ENSG00000167094,ENSG00000110628,0.433
ENSG00000126216,ENSG00000141551,0.426
ENSG00000126216,ENSG00000175216,0.629
ENSG00000178952,ENSG00000167658,0.811
ENSG00000178952,ENSG00000173660,0.507
ENSG00000178952,ENSG00000084623,0.451
ENSG00000118900,ENSG00000099956,0.495
ENSG00000118900,ENSG00000183495,0.915
ENSG00000184076,ENSG00000103769,0.625
ENSG00000184076,ENSG00000173660,0.999
ENSG00000184076,ENSG00000119421,0.986
ENSG00000173660,ENSG00000178952,0.507
ENSG00000173660,ENSG00000119421,0.972
ENSG00000173660,ENSG00000184076,0.999
ENSG00000170185,ENSG00000100902,0.475
ENSG00000170185,ENSG00000164162,0.456
ENSG00000165280,ENSG00000049541,0.72
ENSG00000165280,ENSG00000120948,0.943
ENSG00000165280,ENSG00000100902,0.902
ENSG00000165280,ENSG00000164163,0.511
ENSG00000165280,ENSG00000167658,0.45
ENSG00000165280,ENSG00000070756,0.427
ENSG00000165280,ENSG00000165119,0.426
ENSG00000165280,ENSG00000198742,0.517
ENSG00000165280,ENSG00000163636,0.953
ENSG00000154767,ENSG00000099956,0.973
ENSG00000154767,ENSG00000105486,0.445
ENSG00000154767,ENSG00000107581,0.507
ENSG00000014164,ENSG00000160075,0.666
ENSG00000014164,ENSG00000205937,0.694
ENSG00000010244,ENSG00000133226,0.413
ENSG00000010244,ENSG00000130713,0.508
ENSG00000010244,ENSG00000205937,0.531
ENSG00000010244,ENSG00000175216,0.819
