Gene1,Gene2,Score
ENSG00000100603,ENSG00000183431,0.999635
ENSG00000167862,ENSG00000147586,0.999183
ENSG00000174547,ENSG00000167862,0.999882
ENSG00000106028,ENSG00000167862,0.999078
ENSG00000164924,ENSG00000166913,0.999019
ENSG00000213619,ENSG00000140990,0.999205
ENSG00000167792,ENSG00000213619,0.999599
ENSG00000115286,ENSG00000213619,0.999741
ENSG00000115286,ENSG00000139180,0.999794
ENSG00000115286,ENSG00000158864,0.999673
ENSG00000139180,ENSG00000167792,0.999603
ENSG00000158864,ENSG00000139180,0.999617
ENSG00000140990,ENSG00000139180,0.999328
ENSG00000158864,ENSG00000167792,0.999347
ENSG00000096717,ENSG00000177606,0.999692
ENSG00000143569,ENSG00000177606,0.999665
ENSG00000080503,ENSG00000173473,0.999954
ENSG00000152234,ENSG00000005022,0.999678
ENSG00000005022,ENSG00000110955,0.99973
ENSG00000177606,ENSG00000132341,0.999053
ENSG00000177606,ENSG00000140988,0.999193
ENSG00000177606,ENSG00000116478,0.999854
ENSG00000177606,ENSG00000111642,0.999777
ENSG00000177606,ENSG00000168148,0.999645
ENSG00000082898,ENSG00000177606,0.999445
ENSG00000177606,ENSG00000101266,0.9999
ENSG00000177606,ENSG00000186298,0.999409
ENSG00000131051,ENSG00000177606,0.999208
ENSG00000253729,ENSG00000177606,0.999058
ENSG00000099942,ENSG00000177606,0.999057
ENSG00000177606,ENSG00000115233,0.999053
ENSG00000177606,ENSG00000165119,0.999334
ENSG00000177606,ENSG00000130726,0.999229
ENSG00000143799,ENSG00000177606,0.999015
ENSG00000177606,ENSG00000100603,0.999565
ENSG00000132646,ENSG00000177606,0.999081
ENSG00000073111,ENSG00000177606,0.999309
ENSG00000072501,ENSG00000177606,0.999358
ENSG00000099284,ENSG00000177606,0.999605
ENSG00000177606,ENSG00000004487,0.999761
ENSG00000122565,ENSG00000177606,0.999716
ENSG00000168148,ENSG00000118260,0.999585
ENSG00000141510,ENSG00000117748,0.99959
ENSG00000080503,ENSG00000177606,0.99913
ENSG00000079134,ENSG00000183684,0.999751
ENSG00000189091,ENSG00000179950,0.999102
ENSG00000165119,ENSG00000189091,0.999861
ENSG00000100387,ENSG00000139842,0.999995
ENSG00000115524,ENSG00000087365,0.999966
ENSG00000115524,ENSG00000189091,0.99997
ENSG00000110330,ENSG00000092098,0.999576
ENSG00000213024,ENSG00000108424,0.999175
ENSG00000117748,ENSG00000073111,0.99968
ENSG00000168036,ENSG00000186575,0.999103
ENSG00000113558,ENSG00000100387,0.99938
ENSG00000133026,ENSG00000100345,0.99973
