ID,custom_color,
ENSG00000139531,orange,
ENSG00000123453,orange,
ENSG00000132541,orange,
ENSG00000176340,orange,
ENSG00000116096,orange,
ENSG00000115204,orange,
ENSG00000180011,orange,
ENSG00000112110,orange,
ENSG00000137124,orange,
ENSG00000172586,orange,
ENSG00000126953,orange,
ENSG00000078668,orange,
ENSG00000085491,orange,
ENSG00000060762,orange,
ENSG00000177542,orange,
ENSG00000151475,orange,
ENSG00000182902,orange,
ENSG00000072756,orange,
ENSG00000119912,orange,
ENSG00000197448,orange,
ENSG00000137411,orange,
ENSG00000115541,orange,
ENSG00000183617,orange,
ENSG00000204316,orange,
ENSG00000137409,orange,
ENSG00000170855,orange,
ENSG00000132300,orange,
ENSG00000006695,orange,
ENSG00000121057,orange,
ENSG00000004455,orange,
ENSG00000175606,orange,
ENSG00000084092,orange,
ENSG00000050393,orange,
ENSG00000111843,orange,
ENSG00000109390,orange,
ENSG00000132313,orange,
ENSG00000170906,orange,
ENSG00000148459,orange,
ENSG00000122912,orange,
ENSG00000005187,orange,
ENSG00000156170,orange,
ENSG00000109424,orange,
ENSG00000164466,orange,
ENSG00000182512,orange,
ENSG00000187024,orange,
ENSG00000181991,orange,
ENSG00000196236,orange,
ENSG00000164951,orange,
ENSG00000167969,orange,
ENSG00000183032,orange,
ENSG00000197119,orange,
ENSG00000162241,orange,
ENSG00000013306,orange,
ENSG00000119013,orange,
ENSG00000076043,orange,
ENSG00000171766,orange,
ENSG00000132286,orange,
ENSG00000283977,orange,
ENSG00000104835,orange,
ENSG00000016391,orange,
ENSG00000173141,orange,
ENSG00000213563,orange,
ENSG00000103356,orange,
ENSG00000137106,orange,
ENSG00000103707,orange,
