Gene1,Gene2,Score
ENSG00000137575,ENSG00000124145,0.976519
ENSG00000075711,ENSG00000134982,0.989485
ENSG00000100393,ENSG00000116809,0.968575
ENSG00000197122,ENSG00000085733,0.994144
ENSG00000112984,ENSG00000166851,0.99071
ENSG00000170365,ENSG00000157933,0.99186
ENSG00000163956,ENSG00000081479,0.983967
ENSG00000175387,ENSG00000049759,0.952734
ENSG00000185591,ENSG00000196591,0.991984
ENSG00000030110,ENSG00000141510,0.99329
ENSG00000173801,ENSG00000039068,0.999873
ENSG00000198722,ENSG00000079841,0.981718
ENSG00000107404,ENSG00000148400,0.95023
ENSG00000198561,ENSG00000170558,0.954318
ENSG00000169439,ENSG00000240505,0.968058
ENSG00000056558,ENSG00000127191,0.972449
ENSG00000168298,ENSG00000096717,0.992778
ENSG00000166851,ENSG00000198901,0.993784
ENSG00000131196,ENSG00000107643,0.976738
ENSG00000120899,ENSG00000050820,0.998762
ENSG00000182636,ENSG00000101412,0.978555
ENSG00000170365,ENSG00000108854,0.993226
ENSG00000089220,ENSG00000132155,0.996583
ENSG00000178999,ENSG00000186298,0.995136
ENSG00000100811,ENSG00000163602,0.960643
ENSG00000160691,ENSG00000177885,0.999801
ENSG00000197122,ENSG00000259207,0.993556
ENSG00000130522,ENSG00000171223,0.994889
ENSG00000118503,ENSG00000213341,0.959956
ENSG00000269335,ENSG00000118503,0.991771
ENSG00000101412,ENSG00000139687,0.984355
ENSG00000118971,ENSG00000135446,0.998231
ENSG00000101412,ENSG00000198176,0.98815
ENSG00000089250,ENSG00000132535,0.987151
ENSG00000005339,ENSG00000197386,0.989609
ENSG00000106211,ENSG00000172115,0.988116
ENSG00000204287,ENSG00000196126,0.997987
ENSG00000110711,ENSG00000080824,0.989549
ENSG00000197122,ENSG00000120899,0.995475
ENSG00000105810,ENSG00000112576,0.994832
ENSG00000141510,ENSG00000104825,0.98609
ENSG00000204217,ENSG00000107779,0.99322
ENSG00000204209,ENSG00000026103,0.983654
ENSG00000140443,ENSG00000169047,0.997051
ENSG00000106799,ENSG00000163513,0.997687
ENSG00000136603,ENSG00000141646,0.99311
ENSG00000123374,ENSG00000133101,0.995474
ENSG00000100393,ENSG00000005339,0.99987
ENSG00000108840,ENSG00000081189,0.974442
ENSG00000005339,ENSG00000118260,0.998416
ENSG00000141736,ENSG00000065361,0.993351
ENSG00000067066,ENSG00000140464,0.976793
ENSG00000143632,ENSG00000106211,0.998541
ENSG00000142208,ENSG00000080824,0.990561
ENSG00000116030,ENSG00000140464,0.998503
ENSG00000197122,ENSG00000121774,0.985964
ENSG00000012048,ENSG00000101773,0.995345
ENSG00000187098,ENSG00000100393,0.975382
ENSG00000108840,ENSG00000128245,0.966303
ENSG00000197122,ENSG00000146648,0.999119
ENSG00000072401,ENSG00000181852,0.99166
ENSG00000146648,ENSG00000141736,0.999422
ENSG00000142453,ENSG00000126457,0.982398
ENSG00000132470,ENSG00000105976,0.998366
ENSG00000097007,ENSG00000078900,0.98299
ENSG00000145675,ENSG00000169047,0.971132
