ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles,trait_Cognitive.decline,direction_CBE,direction_TCX
ENSG00000099817,-0.38,-0.49,-1.58,0.11,-0.76,NONE,NONE
ENSG00000173599,0.27,0.13,0.9,0.86,0.75,NONE,UP
ENSG00000123562,-0.97,-0.28,-1.26,-1.6,-0.74,NONE,NONE
ENSG00000182004,-1.29,-0.49,-1.18,-0.03,-0.73,NONE,NONE
ENSG00000137942,0.1,0.91,0.41,-0.09,0.73,NONE,UP
ENSG00000100379,0.32,-0.55,-0.27,0.36,-0.73,NONE,NONE
ENSG00000099250,-1.16,-0.78,-0.32,-2.58,-0.72,UP,NONE
ENSG00000186868,-0.01,-0.33,-0.12,0.06,-0.72,NONE,NONE
ENSG00000160326,-0.03,-0.01,-0.8,-0.14,-0.69,NONE,NONE
ENSG00000135596,-0.42,-0.52,-2.14,-0.45,-0.68,NONE,DOWN
ENSG00000138069,-0.89,0.05,-0.67,-1.51,-0.68,NONE,NONE
ENSG00000136213,1.04,0.11,0.19,0.42,0.67,NONE,NONE
ENSG00000114857,0.17,0.29,0.05,0.37,0.67,DOWN,NONE
ENSG00000130305,-1.44,-0.69,-1.32,-1.08,-0.66,NONE,NONE
ENSG00000102241,0.4,0.3,0.62,0.38,0.65,NONE,NONE
ENSG00000181789,-0.24,-0.51,-2.06,-0.04,-0.65,NONE,NONE
ENSG00000131437,0.32,-0.2,-0.51,0.5,-0.64,NONE,NONE
ENSG00000106263,1.11,-0.06,1.53,1.99,0.63,NONE,NONE
ENSG00000141867,0.26,0.16,0.44,0.42,0.63,NONE,NONE
ENSG00000099246,-0.9,0.02,-0.38,-1.57,-0.62,NONE,NONE
ENSG00000168522,0.21,1.22,1.5,0.32,0.62,NONE,NONE
ENSG00000186907,0.01,-0.66,-0.76,-0.03,-0.61,NONE,NONE
ENSG00000086232,-1.37,0.03,-1.14,-0.68,-0.6,NONE,NONE
ENSG00000168807,0.16,0.19,0.12,0.19,0.59,NONE,UP
ENSG00000143977,0.11,0.47,0.32,0.2,0.58,NONE,NONE
ENSG00000086200,-0.39,-0.08,-0.01,0.04,-0.57,NONE,NONE
ENSG00000119318,-0.41,-0.29,-0.21,-1.33,-0.57,NONE,NONE
ENSG00000152795,-0.19,0.81,0.02,-0.58,0.57,NONE,NONE
ENSG00000181222,0.01,-0.22,0.15,-1.24,-0.56,UP,NONE
ENSG00000180263,0.26,0.24,0.45,-0.02,0.56,NONE,UP
ENSG00000129538,0.83,0.26,1.02,0.78,0.56,NONE,NONE
ENSG00000178307,0.43,0.26,-0.52,0.4,0.56,NONE,NONE
ENSG00000114127,0.03,0.85,0.4,0,0.55,NONE,NONE
ENSG00000197429,-0.99,-1.43,0.14,-0.87,-0.55,NONE,NONE
ENSG00000105669,-0.23,-0.57,-0.44,-0.95,-0.54,DOWN,NONE
ENSG00000138030,0.14,-0.29,-1.41,-0.09,-0.54,NONE,NONE
ENSG00000106683,0.34,0.57,-0.18,0.8,0.54,DOWN,NONE
ENSG00000118432,-0.44,-0.58,-1.06,-0.68,-0.54,NONE,DOWN
ENSG00000105607,-0.57,-1.22,-0.16,-0.68,-0.53,NONE,NONE
ENSG00000172977,0.24,-0.12,0.02,1.24,0.53,NONE,NONE
ENSG00000144355,-0.67,-0.34,-1.98,0.21,-0.51,NONE,DOWN
ENSG00000215305,-1.07,-0.14,-1.44,-0.32,-0.51,NONE,NONE
ENSG00000175928,0.22,0.68,0.9,0,0.5,NONE,UP
ENSG00000110031,-0.65,0.16,-0.85,0.12,0.49,DOWN,NONE
ENSG00000125388,0.19,0.61,-0.03,0.59,0.48,DOWN,DOWN
ENSG00000116688,0,-0.11,0.39,-0.67,-0.47,NONE,NONE
ENSG00000106028,-0.75,0.05,-0.93,-0.03,-0.47,NONE,NONE
ENSG00000070756,0.02,0.27,1.78,0.3,0.46,NONE,NONE
ENSG00000105220,-0.37,0.03,-0.88,-0.85,-0.46,NONE,NONE
ENSG00000139641,0.14,0.01,-1.08,-0.09,-0.46,NONE,NONE
ENSG00000133878,-0.32,-0.45,-1.21,0.06,-0.46,NONE,NONE
ENSG00000141552,-0.02,0.44,0.27,0.97,0.46,NONE,NONE
ENSG00000159409,-0.35,-0.24,-1.55,-0.42,-0.45,NONE,NONE
ENSG00000169299,0.21,1.26,1.32,-1.1,0.45,NONE,UP
ENSG00000160216,0.14,-0.29,0.75,-0.52,-0.44,NONE,NONE
ENSG00000119787,-0.6,0.02,-0.24,-1.17,-0.44,NONE,NONE
ENSG00000071189,-0.26,-0.05,0.23,-1.09,-0.43,NONE,NONE
ENSG00000173137,0.05,-0.38,-0.48,0.45,-0.43,NONE,NONE
ENSG00000127511,-0.25,-0.15,-0.75,-0.81,-0.43,NONE,NONE
