Gene,Target,Custom_Color_Target,Custom_Color_Seed
ENSG00000258429,MitoCarta,Blue,
ENSG00000240230,MitoCarta,Blue,
ENSG00000145020,MitoCarta,Blue,
ENSG00000090857,MitoCarta,Blue,
ENSG00000123213,MitoCarta,Blue,
ENSG00000178096,MitoCarta,Blue,
ENSG00000158578,MitoCarta,Blue,
ENSG00000164284,MitoCarta,Blue,
ENSG00000164904,MitoCarta,Blue,
ENSG00000069998,MitoCarta,Blue,
ENSG00000127554,MitoCarta,Blue,
ENSG00000184903,MitoCarta,Blue,
ENSG00000131055,MitoCarta,Blue,
ENSG00000154719,MitoCarta,Blue,
ENSG00000109576,MitoCarta,Blue,
ENSG00000165775,MitoCarta,Blue,
ENSG00000120992,MitoCarta,Blue,
ENSG00000163114,MitoCarta,Blue,
ENSG00000112031,MitoCarta,Blue,
ENSG00000130299,MitoCarta,Blue,
ENSG00000163738,MitoCarta,Blue,
ENSG00000136758,MitoCarta,Blue,
ENSG00000119673,MitoCarta,Blue,
ENSG00000256053,MitoCarta,Blue,
ENSG00000139428,MitoCarta,Blue,
ENSG00000143224,MitoCarta,Blue,
ENSG00000117528,MitoCarta,Blue,
ENSG00000142082,MitoCarta,Blue,
ENSG00000166816,MitoCarta,Blue,
ENSG00000277936,MitoCarta,Blue,
ENSG00000130921,MitoCarta,Blue,
ENSG00000148950,MitoCarta,Blue,
ENSG00000123472,MitoCarta,Blue,
ENSG00000135441,MitoCarta,Blue,
ENSG00000136010,MitoCarta,Blue,
ENSG00000163626,MitoCarta,Blue,
ENSG00000080819,MitoCarta,Blue,
ENSG00000112992,MitoCarta,Blue,
ENSG00000224877,MitoCarta,Blue,
ENSG00000166896,MitoCarta,Blue,
ENSG00000172992,MitoCarta,Blue,
ENSG00000241468,MitoCarta,Blue,
ENSG00000107819,MitoCarta,Blue,
ENSG00000008311,MitoCarta,Blue,
ENSG00000184047,MitoCarta,Blue,
ENSG00000187581,MitoCarta,Blue,
ENSG00000176894,MitoCarta,Blue,
ENSG00000113492,MitoCarta,Blue,
ENSG00000135423,MitoCarta,Blue,
ENSG00000184831,MitoCarta,Blue,
ENSG00000240303,MitoCarta,Blue,
ENSG00000164241,MitoCarta,Blue,
ENSG00000241935,MitoCarta,Blue,
ENSG00000182768,MitoCarta,Blue,
ENSG00000179152,MitoCarta,Blue,
